 format: day,hour,forecast,value  location:54_126 Start : 20200801 
 8,0800,+31,40.000000 
 8,0800,+37,40.000000 
 8,0800,+43,10.000000 
 8,0800,+49,10.000000 
 8,0800,+55,0.000000 
 8,1100,+4,70.000000 
 8,1100,+10,100.000000 
 8,1100,+16,100.000000 
 8,1100,+22,70.000000 
 8,1100,+28,40.000000 
 8,1100,+34,40.000000 
 8,1100,+40,10.000000 
 8,1100,+46,10.000000 
 8,1100,+52,0.000000 
 8,1400,+7,100.000000 
 8,1400,+13,100.000000 
 8,1400,+19,70.000000 
 8,1400,+25,40.000000 
 8,1400,+31,40.000000 
 8,1400,+37,10.000000 
 8,1400,+43,10.000000 
 8,1400,+49,0.000000 
 8,1700,+4,70.000000 
 8,1700,+10,100.000000 
 8,1700,+16,70.000000 
 8,1700,+22,40.000000 
 8,1700,+28,40.000000 
 8,1700,+34,10.000000 
 8,1700,+40,10.000000 
 8,1700,+46,0.000000 
 8,2000,+7,70.000000 
 8,2000,+13,100.000000 
 8,2000,+19,70.000000 
 8,2000,+25,70.000000 
 8,2000,+31,10.000000 
 8,2000,+37,10.000000 
 8,2000,+43,10.000000 
 8,2000,+49,40.000000 
 8,2000,+55,20.000000 
 8,2000,+61,20.000000 
 8,2000,+67,5.000000 
 8,2300,+4,40.000000 
 8,2300,+10,100.000000 
 8,2300,+16,70.000000 
 8,2300,+22,70.000000 
 8,2300,+28,10.000000 
 8,2300,+34,10.000000 
 8,2300,+40,10.000000 
 8,2300,+46,40.000000 
 8,2300,+52,20.000000 
 8,2300,+58,20.000000 
 8,2300,+64,5.000000 
 9,0200,+7,100.000000 
 9,0200,+13,70.000000 
 9,0200,+19,70.000000 
 9,0200,+25,10.000000 
 9,0200,+31,10.000000 
 9,0200,+37,10.000000 
 9,0200,+43,40.000000 
 9,0200,+49,20.000000 
 9,0200,+55,20.000000 
 9,0200,+61,5.000000 
 9,0500,+4,100.000000 
 9,0500,+10,70.000000 
 9,0500,+16,70.000000 
 9,0500,+22,10.000000 
 9,0500,+28,10.000000 
 9,0500,+34,10.000000 
 9,0500,+40,40.000000 
 9,0500,+46,20.000000 
 9,0500,+52,20.000000 
 9,0500,+58,5.000000 
 9,0800,+7,70.000000 
 9,0800,+13,70.000000 
 9,0800,+19,20.000000 
 9,0800,+25,20.000000 
 9,0800,+31,20.000000 
 9,0800,+37,40.000000 
 9,0800,+43,20.000000 
 9,0800,+49,20.000000 
 9,0800,+55,5.000000 
 9,1100,+4,70.000000 
 9,1100,+10,70.000000 
 9,1100,+16,20.000000 
 9,1100,+22,20.000000 
 9,1100,+28,20.000000 
 9,1100,+34,40.000000 
 9,1100,+40,20.000000 
 9,1100,+46,20.000000 
 9,1100,+52,5.000000 
 9,1400,+7,70.000000 
 9,1400,+13,20.000000 
 9,1400,+19,20.000000 
 9,1400,+25,20.000000 
 9,1400,+31,40.000000 
 9,1400,+37,20.000000 
 9,1400,+43,20.000000 
 9,1400,+49,5.000000 
 9,1700,+4,70.000000 
 9,1700,+10,20.000000 
 9,1700,+16,20.000000 
 9,1700,+22,20.000000 
 9,1700,+28,40.000000 
 9,1700,+34,20.000000 
 9,1700,+40,20.000000 
 9,1700,+46,5.000000 
 9,2000,+7,40.000000 
 9,2000,+13,20.000000 
 9,2000,+19,20.000000 
 9,2000,+25,40.000000 
 9,2000,+31,20.000000 
 9,2000,+37,10.000000 
 9,2000,+43,10.000000 
 9,2000,+49,0.000000 
 9,2000,+55,0.000000 
 9,2000,+61,0.000000 
 9,2000,+67,0.000000 
 9,2300,+4,40.000000 
 9,2300,+10,20.000000 
 9,2300,+16,20.000000 
 9,2300,+22,40.000000 
 9,2300,+28,20.000000 
 9,2300,+34,10.000000 
 9,2300,+40,10.000000 
 9,2300,+46,0.000000 
 9,2300,+52,0.000000 
 9,2300,+58,0.000000 
 9,2300,+64,0.000000 
 10,0200,+7,20.000000 
 10,0200,+13,20.000000 
 10,0200,+19,40.000000 
 10,0200,+25,20.000000 
 10,0200,+31,10.000000 
 10,0200,+37,10.000000 
 10,0200,+43,0.000000 
 10,0200,+49,0.000000 
 10,0200,+55,0.000000 
 10,0200,+61,0.000000 
 10,0500,+4,20.000000 
 10,0500,+10,20.000000 
 10,0500,+16,40.000000 
 10,0500,+22,20.000000 
 10,0500,+28,10.000000 
 10,0500,+34,10.000000 
 10,0500,+40,0.000000 
 10,0500,+46,0.000000 
 10,0500,+52,0.000000 
 10,0500,+58,0.000000 
 10,0800,+7,20.000000 
 10,0800,+13,40.000000 
 10,0800,+19,20.000000 
 10,0800,+25,10.000000 
 10,0800,+31,10.000000 
 10,0800,+37,0.000000 
 10,0800,+43,0.000000 
 10,0800,+49,0.000000 
 10,0800,+55,0.000000 
 10,1100,+4,20.000000 
 10,1100,+10,40.000000 
 10,1100,+16,20.000000 
 10,1100,+22,10.000000 
 10,1100,+28,10.000000 
 10,1100,+34,0.000000 
 10,1100,+40,0.000000 
 10,1100,+46,0.000000 
 10,1100,+52,0.000000 
 10,1400,+7,40.000000 
 10,1400,+13,20.000000 
 10,1400,+19,10.000000 
 10,1400,+25,10.000000 
 10,1400,+31,0.000000 
 10,1400,+37,0.000000 
 10,1400,+43,0.000000 
 10,1400,+49,0.000000 
 10,1700,+4,70.000000 
 10,1700,+10,20.000000 
 10,1700,+16,10.000000 
 10,1700,+22,10.000000 
 10,1700,+28,0.000000 
 10,1700,+34,0.000000 
 10,1700,+40,0.000000 
 10,1700,+46,0.000000 
 10,2000,+7,70.000000 
 10,2000,+13,10.000000 
 10,2000,+19,0.000000 
 10,2000,+25,0.000000 
 10,2000,+31,0.000000 
 10,2000,+37,0.000000 
 10,2000,+43,0.000000 
 10,2000,+49,0.000000 
 10,2000,+55,0.000000 
 10,2000,+61,1.000000 
 10,2000,+67,1.000000 
 10,2300,+4,70.000000 
 10,2300,+10,10.000000 
 10,2300,+16,0.000000 
 10,2300,+22,0.000000 
 10,2300,+28,0.000000 
 10,2300,+34,0.000000 
 10,2300,+40,0.000000 
 10,2300,+46,0.000000 
 10,2300,+52,0.000000 
 10,2300,+58,5.000000 
 10,2300,+64,5.000000 
 11,0200,+7,10.000000 
 11,0200,+13,0.000000 
 11,0200,+19,0.000000 
 11,0200,+25,0.000000 
 11,0200,+31,0.000000 
 11,0200,+37,0.000000 
 11,0200,+43,0.000000 
 11,0200,+49,0.000000 
 11,0200,+55,5.000000 
 11,0200,+61,5.000000 
 11,0500,+4,0.000000 
 11,0500,+10,0.000000 
 11,0500,+16,0.000000 
 11,0500,+22,0.000000 
 11,0500,+28,0.000000 
 11,0500,+34,0.000000 
 11,0500,+40,0.000000 
 11,0500,+46,0.000000 
 11,0500,+52,5.000000 
 11,0500,+58,5.000000 
 11,0800,+7,0.000000 
 11,0800,+13,0.000000 
 11,0800,+19,0.000000 
 11,0800,+25,0.000000 
 11,0800,+31,0.000000 
 11,0800,+37,0.000000 
 11,0800,+43,0.000000 
 11,0800,+49,5.000000 
 11,0800,+55,5.000000 
 11,1100,+4,0.000000 
 11,1100,+10,0.000000 
 11,1100,+16,0.000000 
 11,1100,+22,0.000000 
 11,1100,+28,0.000000 
 11,1100,+34,0.000000 
 11,1100,+40,0.000000 
